dept	den	cnl
1350	2.343	36.802
1350.125	2.391	34.298
1350.25	2.415	30.596
1350.375	2.406	29.718
1350.5	2.397	30.733
1350.625	2.394	31.933
1350.75	2.399	33.302
1350.875	2.413	33.744
1351	2.426	33.557
1351.125	2.42	33.337
1351.25	2.383	34.369
1351.375	2.352	36.668
1351.5	2.317	39.378
1351.625	2.306	39.882
1351.75	2.304	40.456
1351.875	2.301	40.58
1352	2.296	40.171
1352.125	2.302	39.961
1352.25	2.306	41.403
1352.375	2.298	42.303
1352.5	2.284	41.663
1352.625	2.285	42.421
1352.75	2.319	45.438
1352.875	2.354	45.431
1353	2.402	40.836
1353.125	2.42	36.513
1353.25	2.433	32.128
1353.375	2.442	30.388
1353.5	2.446	29.136
1353.625	2.435	28.635
1353.75	2.395	28.633
1353.875	2.362	31.383
1354	2.337	38.069
1354.125	2.343	40.717
1354.25	2.356	37.897
1354.375	2.35	33.993
1354.5	2.343	31.152
1354.625	2.355	31.212
1354.75	2.386	31.57
1354.875	2.408	31.143
1355	2.436	31.9
1355.125	2.447	33.931
1355.25	2.458	36.451
1355.375	2.462	36.03
1355.5	2.469	33.453
1355.625	2.469	32.054
1355.75	2.459	30.662
1355.875	2.453	29.374
1356	2.451	28.643
1356.125	2.447	29.287
1356.25	2.43	30.043
1356.375	2.419	30.446
1356.5	2.422	32.117
1356.625	2.427	32.884
1356.75	2.425	31.3
1356.875	2.421	29.686
1357	2.419	28.785
1357.125	2.418	29.582
1357.25	2.409	31.936
1357.375	2.401	33.34
1357.5	2.393	32.982
1357.625	2.386	31.177
1357.75	2.382	29.503
1357.875	2.39	30.439
1358	2.414	32.473
1358.125	2.43	32.677
1358.25	2.438	32.277
1358.375	2.427	33.149
1358.5	2.409	34.991
1358.625	2.413	34.214
1358.75	2.427	32.05
1358.875	2.423	31.486
1359	2.405	30.965
1359.125	2.407	30.075
1359.25	2.432	29.736
1359.375	2.445	30.38
1359.5	2.452	30.453
1359.625	2.449	29.92
1359.75	2.433	29.082
1359.875	2.414	29.031
1360	2.385	29.864
1360.125	2.384	31.391
1360.25	2.411	32.63
1360.375	2.429	32.033
1360.5	2.407	31.236
1360.625	2.369	32.384
1360.75	2.341	36.333
1360.875	2.345	37.854
1361	2.347	36.613
1361.125	2.336	35.335
1361.25	2.323	34.777
1361.375	2.333	34.845
1361.5	2.363	34.701
1361.625	2.366	34.435
1361.75	2.329	33.693
1361.875	2.315	33.725
1362	2.363	33.836
1362.125	2.415	33.057
1362.25	2.472	31.72
1362.375	2.487	31.639
1362.5	2.485	30.721
1362.625	2.472	28.979
1362.75	2.451	28.356
1362.875	2.444	28.904
1363	2.44	28.793
1363.125	2.438	28.336
1363.25	2.434	29.149
1363.375	2.433	30.81
1363.5	2.437	32.871
1363.625	2.436	33.253
1363.75	2.433	32.025
1363.875	2.443	30.575
1364	2.464	30.485
1364.125	2.459	31.8
1364.25	2.432	32.445
1364.375	2.42	31.75
1364.5	2.434	30.819
1364.625	2.449	31.044
1364.75	2.459	32.316
1364.875	2.455	32.712
1365	2.428	31.663
1365.125	2.404	30.157
1365.25	2.404	28.742
1365.375	2.433	27.979
1365.5	2.472	26.167
1365.625	2.47	25.498
1365.75	2.456	25.99
1365.875	2.46	26.909
1366	2.462	27.916
1366.125	2.45	28.061
1366.25	2.434	28.08
1366.375	2.434	28.341
1366.5	2.44	29.138
1366.625	2.441	29.913
1366.75	2.437	31.941
1366.875	2.43	33.186
1367	2.431	32.871
1367.125	2.448	30.963
1367.25	2.46	28.741
1367.375	2.443	28.923
1367.5	2.399	30.829
1367.625	2.375	31.993
1367.75	2.363	32.315
1367.875	2.372	32.5
1368	2.387	32.592
1368.125	2.381	32.893
1368.25	2.353	34.136
1368.375	2.341	36.19
1368.5	2.346	38.997
1368.625	2.359	38.953
1368.75	2.368	36.214
1368.875	2.362	33.175
1369	2.352	30.775
1369.125	2.351	30.807
1369.25	2.354	31.291
1369.375	2.364	31.348
1369.5	2.41	30.862
1369.625	2.462	29.929
1369.75	2.522	27.28
1369.875	2.542	25.697
1370	2.54	24.306
1370.125	2.522	23.339
1370.25	2.49	21.517
1370.375	2.474	20.37
1370.5	2.484	19.931
1370.625	2.494	20.35
1370.75	2.485	20.994
1370.875	2.463	21.202
1371	2.428	22.028
1371.125	2.408	23.282
1371.25	2.39	26.186
1371.375	2.4	28.199
1371.5	2.443	29.223
1371.625	2.47	28.508
1371.75	2.483	27.05
1371.875	2.481	26.719
1372	2.478	26.843
1372.125	2.47	26.897
1372.25	2.446	26.477
1372.375	2.433	26.36
1372.5	2.429	27.517
1372.625	2.442	28.18
1372.75	2.472	27.994
1372.875	2.492	27.488
1373	2.505	26.57
1373.125	2.503	25.904
1373.25	2.49	25.849
1373.375	2.482	26.232
1373.5	2.473	25.442
1373.625	2.469	24.46
1373.75	2.464	24.517
1373.875	2.46	25.281
1374	2.46	26.208
1374.125	2.458	26.404
1374.25	2.461	26.01
1374.375	2.471	25.528
1374.5	2.483	24.767
1374.625	2.481	24.824
1374.75	2.472	25.155
1374.875	2.472	25.061
1375	2.474	24.671
1375.125	2.475	24.652
1375.25	2.477	25.315
1375.375	2.477	26.038
1375.5	2.475	26.927
1375.625	2.472	26.864
1375.75	2.463	25.883
1375.875	2.455	25.718
1376	2.46	27.219
1376.125	2.469	28.075
1376.25	2.468	27.441
1376.375	2.457	26.109
1376.5	2.444	24.664
1376.625	2.439	24.413
1376.75	2.428	24.412
1376.875	2.422	24.713
1377	2.428	25.719
1377.125	2.441	26.292
1377.25	2.466	26.753
1377.375	2.479	27.423
1377.5	2.477	29.348
1377.625	2.459	30.56
1377.75	2.428	30.136
1377.875	2.413	28.531
1378	2.413	25.249
1378.125	2.419	23.682
1378.25	2.401	24.071
1378.375	2.365	25.764
1378.5	2.305	28.263
1378.625	2.276	28.62
1378.75	2.254	27.311
1378.875	2.248	26.214
1379	2.237	25.92
1379.125	2.227	26.601
1379.25	2.216	27.535
1379.375	2.208	27.465
1379.5	2.189	26.708
1379.625	2.192	26.518
1379.75	2.24	27.037
1379.875	2.274	27.633
1380	2.287	27.564
1380.125	2.269	26.903
1380.25	2.225	26.577
1380.375	2.199	27.312
1380.5	2.178	28.04
1380.625	2.179	27.737
1380.75	2.208	27.127
1380.875	2.242	26.393
1381	2.287	25.186
1381.125	2.306	24.602
1381.25	2.333	25.372
1381.375	2.351	26.575
1381.5	2.373	27.553
1381.625	2.383	27.385
1381.75	2.393	26.429
1381.875	2.399	26.253
1382	2.416	26.739
1382.125	2.436	27.056
1382.25	2.455	27.386
1382.375	2.449	27.267
1382.5	2.429	26.931
1382.625	2.432	27.113
1382.75	2.461	27.522
1382.875	2.472	26.746
1383	2.45	24.045
1383.125	2.423	22.845
1383.25	2.399	23.119
1383.375	2.4	24.378
1383.5	2.428	26.573
1383.625	2.456	27.38
1383.75	2.491	26.846
1383.875	2.501	25.937
1384	2.484	25.619
1384.125	2.466	25.864
1384.25	2.458	26.099
1384.375	2.463	25.683
1384.5	2.472	24.382
1384.625	2.476	23.473
1384.75	2.488	22.737
1384.875	2.493	22.821
1385	2.483	23.421
1385.125	2.466	24.292
1385.25	2.435	25.41
1385.375	2.437	25.673
1385.5	2.473	26.067
1385.625	2.495	27.019
1385.75	2.507	28.245
1385.875	2.516	27.998
1386	2.529	27.079
1386.125	2.508	26.954
1386.25	2.467	27.272
1386.375	2.474	27.295
1386.5	2.527	27.87
1386.625	2.548	28.279
1386.75	2.531	27.937
1386.875	2.509	27.468
1387	2.49	26.873
1387.125	2.489	26.514
1387.25	2.483	26.009
1387.375	2.48	25.991
1387.5	2.487	25.831
1387.625	2.496	25.74
1387.75	2.516	26.923
1387.875	2.527	27.98
1388	2.526	27.84
1388.125	2.505	27.05
1388.25	2.472	27.028
1388.375	2.467	27.153
1388.5	2.475	25.674
1388.625	2.474	24.308
1388.75	2.449	23.127
1388.875	2.418	22.923
1389	2.362	23.165
1389.125	2.325	23.979
1389.25	2.282	24.886
1389.375	2.264	24.745
1389.5	2.25	24.395
1389.625	2.241	24.354
1389.75	2.255	24.555
1389.875	2.3	24.65
1390	2.393	25.784
1390.125	2.451	26.799
1390.25	2.514	27.53
1390.375	2.534	27.775
1390.5	2.519	27.642
1390.625	2.5	26.956
1390.75	2.499	25.683
1390.875	2.508	25.085
1391	2.513	25.181
1391.125	2.512	25.842
1391.25	2.513	26.92
1391.375	2.515	26.863
1391.5	2.505	25.763
1391.625	2.484	25.532
1391.75	2.45	25.826
1391.875	2.435	25.591
1392	2.43	24.335
1392.125	2.432	23.467
1392.25	2.431	23.212
1392.375	2.427	23.379
1392.5	2.401	23.251
1392.625	2.364	22.932
1392.75	2.295	22.731
1392.875	2.257	22.838
1393	2.223	23.286
1393.125	2.205	24.111
1393.25	2.179	25.449
1393.375	2.171	25.731
1393.5	2.171	25.2
1393.625	2.172	25.086
1393.75	2.172	25.547
1393.875	2.173	25.944
1394	2.173	26.618
1394.125	2.174	26.806
1394.25	2.178	25.784
1394.375	2.184	24.617
1394.5	2.194	24.066
1394.625	2.202	24.601
1394.75	2.211	24.874
1394.875	2.224	24.531
1395	2.28	23.827
1395.125	2.318	23.354
1395.25	2.316	23.208
1395.375	2.278	24.16
1395.5	2.23	25.857
1395.625	2.224	25.502
1395.75	2.237	23.498
1395.875	2.245	22.997
1396	2.253	23.899
1396.125	2.256	24.471
1396.25	2.266	24.215
1396.375	2.277	23.847
1396.5	2.296	24.042
1396.625	2.298	24.484
1396.75	2.287	25.91
1396.875	2.295	26.875
1397	2.356	26.966
1397.125	2.409	25.959
1397.25	2.436	24.349
1397.375	2.399	23.841
1397.5	2.309	23.056
1397.625	2.273	22.647
1397.75	2.284	22.688
1397.875	2.335	22.686
1398	2.424	22.346
1398.125	2.44	22.674
1398.25	2.381	24.961
1398.375	2.324	27.319
1398.5	2.281	30.73
1398.625	2.278	32.804
1398.75	2.296	36.117
1398.875	2.31	37.728
1399	2.326	38.479
1399.125	2.343	38.26
1399.25	2.368	36.844
1399.375	2.378	34.992
1399.5	2.364	31.859
1399.625	2.347	31.105
1399.75	2.359	32.13
1399.875	2.397	32.024
1400	2.456	29.391
1400.125	2.47	27.666
1400.25	2.449	28.211
1400.375	2.416	29.677
1400.5	2.366	31.525
1400.625	2.36	32.259
1400.75	2.39	31.798
1400.875	2.395	30.368
1401	2.372	28.41
1401.125	2.367	28.719
1401.25	2.408	31.814
1401.375	2.433	33.399
1401.5	2.42	31.969
1401.625	2.391	29.459
1401.75	2.36	27.404
1401.875	2.37	27.795
1402	2.409	29.263
1402.125	2.437	30.12
1402.25	2.458	30.042
1402.375	2.46	29.883
1402.5	2.46	30.608
1402.625	2.448	31.313
1402.75	2.417	30.263
1402.875	2.397	28.937
1403	2.39	28.238
1403.125	2.399	28.606
1403.25	2.404	29.602
1403.375	2.391	30.004
1403.5	2.37	30.152
1403.625	2.378	29.896
1403.75	2.409	30.309
1403.875	2.411	30.846
1404	2.377	31.429
1404.125	2.353	32.233
1404.25	2.353	33.4
1404.375	2.373	33.505
1404.5	2.397	32.532
1404.625	2.404	32.479
1404.75	2.41	32.479
1404.875	2.415	32.189
1405	2.426	32.148
1405.125	2.44	31.796
1405.25	2.462	30.248
1405.375	2.478	28.536
1405.5	2.489	26.897
1405.625	2.464	26.533
1405.75	2.372	27.8
1405.875	2.316	30.744
1406	2.293	35.53
1406.125	2.296	37.089
1406.25	2.29	36.782
1406.375	2.291	35.264
1406.5	2.311	33.542
1406.625	2.32	33.366
1406.75	2.309	35.66
1406.875	2.298	37.094
1407	2.307	37.127
1407.125	2.341	36.388
1407.25	2.415	33.435
1407.375	2.441	30.971
1407.5	2.416	28.884
1407.625	2.397	29.656
1407.75	2.44	31.754
1407.875	2.503	31.805
1408	2.556	29.682
1408.125	2.543	28.072
1408.25	2.492	26.605
1408.375	2.452	27.242
1408.5	2.398	31.12
1408.625	2.366	34.505
1408.75	2.329	37.237
1408.875	2.313	36.56
1409	2.321	33.643
1409.125	2.345	31.775
1409.25	2.368	31.352
1409.375	2.365	33.521
1409.5	2.345	35.645
1409.625	2.337	34.078
1409.75	2.344	30.454
1409.875	2.36	30.462
1410	2.368	32.668
1410.125	2.349	32.851
1410.25	2.325	32.12
1410.375	2.339	32.295
1410.5	2.4	34.039
1410.625	2.442	33.821
1410.75	2.501	30.016
1410.875	2.536	26.413
1411	2.534	22.709
1411.125	2.49	22.2
1411.25	2.411	23.375
1411.375	2.371	25.115
1411.5	2.313	27.85
1411.625	2.292	28.917
1411.75	2.325	30.589
1411.875	2.37	32.21
1412	2.399	32.553
1412.125	2.407	30.801
1412.25	2.434	28.511
1412.375	2.428	28.969
1412.5	2.36	31.472
1412.625	2.312	32.553
1412.75	2.287	33.324
1412.875	2.284	34.01
1413	2.291	36.175
1413.125	2.307	37.464
1413.25	2.344	36.918
1413.375	2.357	35.78
1413.5	2.349	35.801
1413.625	2.335	37.596
1413.75	2.329	39.801
1413.875	2.336	39.931
1414	2.342	38.362
1414.125	2.348	36.978
1414.25	2.375	35.224
1414.375	2.392	33.658
1414.5	2.399	31.858
1414.625	2.395	31.774
1414.75	2.384	32.84
1414.875	2.374	33.106
1415	2.364	33.715
1415.125	2.389	34.52
1415.25	2.429	34.612
1415.375	2.431	34.153
1415.5	2.39	33.465
1415.625	2.351	32.555
1415.75	2.312	31.424
1415.875	2.295	31.469
1416	2.293	32.064
1416.125	2.309	32.794
1416.25	2.342	34.176
1416.375	2.367	34.349
1416.5	2.398	33.113
1416.625	2.402	31.745
1416.75	2.394	30.693
1416.875	2.408	31.028
1417	2.445	31.501
1417.125	2.435	31.221
1417.25	2.37	30.591
1417.375	2.338	32.085
