dept	den	cnl
1721.75	1.82995	53.9006
1721.875	1.96414	51.9966
1722	2.08631	48.991
1722.125	2.1633	46.1877
1722.25	2.20112	44.7952
1722.375	2.22018	43.3787
1722.5	2.23578	40.8
1722.625	2.21261	41.0216
1722.75	2.1735	43.8348
1722.875	2.1365	46.9449
1723	2.10356	49.0125
1723.125	2.07766	49.2862
1723.25	2.06008	48.6301
1723.375	2.06108	50.2409
1723.5	2.06618	51.9441
1723.625	2.07628	52.2905
1723.75	2.0851	49.9788
1723.875	2.08568	45.6571
1724	2.07223	44.1228
1724.125	2.08336	45.5601
1724.25	2.12252	47.576
1724.375	2.17486	49.0266
1724.5	2.20958	50.0418
1724.625	2.18115	51.7042
1724.75	1.99163	57.3979
1724.875	1.72074	62.0904
1725	1.51623	65.9486
1725.125	1.3884	68.2343
1725.25	1.31811	68.8
1725.375	1.29682	68.8369
1725.5	1.295	70.1572
1725.625	1.2962	72.5183
1725.75	1.2982	74.3611
1725.875	1.299	74.737
1726	1.298	73.5784
1726.125	1.29922	73.4223
1726.25	1.30423	74.6917
1726.375	1.31494	74.6529
1726.5	1.32773	71.8096
1726.625	1.3385	67.0516
1726.75	1.345	63.249
1726.875	1.347	62.4478
1727	1.35354	63.2803
1727.125	1.3681	64.937
1727.25	1.38	67.9365
1727.375	1.37985	73.3598
1727.5	1.36524	82.2106
1727.625	1.3382	85.6098
1727.75	1.39673	82.5327
1727.875	1.54	72.0125
1728	1.72276	56.5562
1728.125	1.86372	41.6168
1728.25	1.83336	33.436
1728.375	1.66477	33.7353
1728.5	1.48853	41.2958
1728.625	1.36403	53.3933
1728.75	1.30764	65.5361
1728.875	1.302	71.1364
1729	1.30337	69.2779
1729.125	1.305	66.061
1729.25	1.306	64.2234
1729.375	1.307	64.4947
1729.5	1.307	66.3771
1729.625	1.308	69.0413
1729.75	1.30841	70.9043
1729.875	1.30758	71.7415
1730	1.306	73.0107
1730.125	1.30257	73.5721
1730.25	1.296	69.7828
1730.375	1.297	68.1237
1730.5	1.29845	66.7659
1730.625	1.299	66.8361
1730.75	1.29854	67.938
1730.875	1.29553	69.1
1731	1.292	68.9054
1731.125	1.29348	66.8125
1731.25	1.30546	61.4231
1731.375	1.34338	55.162
1731.5	1.432	48
1731.625	1.59532	38.7391
1731.75	1.79908	31.6359
1731.875	1.97877	26.9808
1732	2.06983	25.1474
1732.125	2.04811	27.1447
1732.25	1.91401	33.6535
1732.375	1.70612	44.3887
1732.5	1.52788	57.1227
1732.625	1.47298	65.4593
1732.75	1.55212	65.5669
1732.875	1.74479	57.575
1733	1.99148	45.2313
1733.125	2.26282	35.7752
1733.25	2.40309	32.0284
1733.375	2.48075	30.1617
1733.5	2.52642	28.5989
1733.625	2.56309	26.4131
1733.75	2.60054	23.408
1733.875	2.63862	20.3136
1734	2.63837	19.4744
1734.125	2.63537	21.4708
1734.25	2.62972	25.6687
1734.375	2.623	30.447
1734.5	2.62239	34.5267
1734.625	2.60604	36.4639
1734.75	2.57234	37.0666
1734.875	2.52893	37.1327
1735	2.48725	37.1679
1735.125	2.46237	37.5685
1735.25	2.47077	38
1735.375	2.48749	38.1
1735.5	2.50111	36.8478
1735.625	2.51384	34.9156
1735.75	2.52987	32.9696
1735.875	2.54762	30.5934
1736	2.56792	28.062
1736.125	2.58295	26.1318
1736.25	2.59549	24.9514
1736.375	2.60175	24.7749
1736.5	2.60098	25.3267
1736.625	2.58276	26.4524
1736.75	2.58577	27.1537
1736.875	2.5759	28.8874
1737	2.56144	31.903
1737.125	2.54985	35.5876
1737.25	2.53462	39.1382
1737.375	2.5242	40.22
1737.5	2.52681	38.8773
1737.625	2.53644	37.1934
1737.75	2.54682	35.818
1737.875	2.5487	35.4826
1738	2.53283	36.2006
1738.125	2.53584	33.9968
1738.25	2.54369	31.5085
1738.375	2.55741	28.9891
1738.5	2.57243	26.8711
1738.625	2.58586	25.1272
1738.75	2.591	24.1129
1738.875	2.59	23.9
1739	2.589	23.9
1739.125	2.58989	23.522
1739.25	2.59469	22.9104
1739.375	2.6049	22.4805
1739.5	2.60809	22.9818
1739.625	2.59925	24.1661
1739.75	2.58339	25.8609
1739.875	2.56522	27.6713
1740	2.55307	29.1935
1740.125	2.54988	29.8059
1740.25	2.55889	29.0105
1740.375	2.57086	27.1278
1740.5	2.579	24.72
1740.625	2.58197	22.6134
1740.75	2.58603	21.0919
1740.875	2.58204	22.4896
1741	2.57603	24.9899
1741.125	2.56502	28.0936
1741.25	2.553	30.9992
1741.375	2.545	32.6002
1741.5	2.54199	32.9008
1741.625	2.54	32.7986
1741.75	2.5289	32.8021
1741.875	2.50989	34.1273
1742	2.495	37.8135
1742.125	2.49508	39.708
1742.25	2.50819	39.4954
1742.375	2.52421	37.663
1742.5	2.53606	34.5407
1742.625	2.53893	30.7408
1742.75	2.53393	27.1567
1742.875	2.52992	24.7529
1743	2.53	24.0915
1743.125	2.53827	24.8365
1743.25	2.53612	27.0978
1743.375	2.50327	30.6521
1743.5	2.47412	32.8442
1743.625	2.43906	34.0351
1743.75	2.40914	34.5
1743.875	2.394	34.5
1744	2.40095	34.2728
1744.125	2.42814	33.6572
1744.25	2.46104	32.2404
1744.375	2.47331	30.3223
1744.5	2.477	28.5352
1744.625	2.48034	27.1663
1744.75	2.4907	26.2825
1744.875	2.50491	25.7
1745	2.52794	25.8188
1745.125	2.54478	26.6388
1745.25	2.5542	27.7601
1745.375	2.555	29.1827
1745.5	2.55179	30.7639
1745.625	2.549	32.0659
1745.75	2.55123	32.5226
1745.875	2.55723	31.7303
1746	2.56572	29.609
1746.125	2.57874	26.5529
1746.25	2.59225	24.2245
1746.375	2.59426	23.1226
1746.5	2.58974	23
1746.625	2.58473	23.5542
1746.75	2.58328	24.3277
1746.875	2.58885	24.8
