dept	gr	sp	cal	lld	msfl	lls	hac	den	cnl	rmn	rmg
1350	118.949	68.355	21.425	2.438	2.909	1.965	363.692	2.343	36.802	1.564	1.65
1350.125	118.087	68.339	21.551	2.47	2.923	1.998	354.699	2.391	34.298	1.607	1.71
1350.25	118.106	68.291	21.721	2.559	3.053	2.073	326.618	2.415	30.596	1.65	1.741
1350.375	118.443	68.248	21.802	2.625	3.168	2.133	307.939	2.406	29.718	1.863	1.861
1350.5	119.572	68.173	21.842	2.728	2.965	2.245	337.382	2.397	30.733	1.692	1.952
1350.625	119.22	68.122	21.835	2.725	2.948	2.275	353.621	2.394	31.933	1.735	1.831
1350.75	116.369	68.06	21.828	2.738	3.122	2.308	337.67	2.399	33.302	1.735	1.801
1350.875	114.611	68.034	21.856	2.797	3.316	2.363	313.353	2.413	33.744	1.821	1.801
1351	113.161	68.028	21.958	2.762	2.945	2.352	327.683	2.426	33.557	2.163	2.043
1351.125	113.391	68.048	22.045	2.683	3.013	2.285	341.675	2.42	33.337	2.206	2.164
1351.25	115.922	68.114	22.18	2.562	2.927	2.187	368.916	2.383	34.369	1.778	1.801
1351.375	118.11	68.178	22.26	2.514	2.967	2.153	361.285	2.352	36.668	1.735	1.741
1351.5	121.007	68.292	22.283	2.388	2.849	2.031	362.56	2.317	39.378	1.65	1.65
1351.625	121.653	68.374	22.227	2.336	2.97	1.961	368.055	2.306	39.882	1.607	1.529
1351.75	121.165	68.492	22.039	2.243	2.83	1.871	353.796	2.304	40.456	1.564	1.589
1351.875	119.954	68.563	21.873	2.204	2.75	1.831	356.346	2.301	40.58	1.436	1.529
1352	118.959	68.654	21.732	2.209	2.763	1.83	376.553	2.296	40.171	1.436	1.499
1352.125	119.615	68.703	21.679	2.198	2.811	1.808	372.191	2.302	39.961	1.521	1.589
1352.25	121.459	68.756	21.673	2.174	2.787	1.792	367.071	2.306	41.403	1.478	1.589
1352.375	122.889	68.778	21.671	2.19	2.714	1.793	375.071	2.298	42.303	1.436	1.559
1352.5	125.992	68.788	21.642	2.227	2.8	1.77	367.476	2.284	41.663	1.436	1.499
1352.625	129.05	68.778	21.623	2.163	2.732	1.705	366.164	2.285	42.421	1.393	1.499
1352.75	134.476	68.736	21.594	2.019	2.828	1.624	359.129	2.319	45.438	1.607	1.62
1352.875	139.802	68.692	21.616	1.871	2.773	1.53	356.158	2.354	45.431	1.436	1.529
1353	146.721	68.603	21.733	1.986	2.861	1.647	337.365	2.402	40.836	1.521	1.62
1353.125	148.847	68.536	21.865	2.085	2.816	1.742	329.551	2.42	36.513	1.564	1.499
1353.25	147.025	68.438	22.068	2.489	3.372	2.077	310.213	2.433	32.128	1.821	2.133
1353.375	141.362	68.384	22.126	2.731	3.135	2.319	317.965	2.442	30.388	2.248	2.284
1353.5	130.973	68.333	22.11	3.019	3.546	2.582	279.241	2.446	29.136	2.804	2.768
1353.625	124.884	68.324	22.043	2.994	3.301	2.625	323.914	2.435	28.635	2.462	2.677
1353.75	118.728	68.343	21.951	2.803	2.931	2.422	382.839	2.395	28.633	1.778	1.741
1353.875	117.184	68.373	21.916	2.644	2.961	2.306	372.525	2.362	31.383	1.692	1.68
1354	118.309	68.426	21.873	2.376	2.882	2.082	377.596	2.337	38.069	1.65	1.62
1354.125	119.932	68.459	21.833	2.38	2.915	2.073	367.807	2.343	40.717	1.778	1.741
1354.25	121.363	68.491	21.804	2.329	2.911	2.011	331.202	2.356	37.897	1.735	1.741
1354.375	121.497	68.496	21.782	2.291	3.117	1.962	307.623	2.35	33.993	1.821	1.861
1354.5	121.518	68.477	21.82	2.252	2.819	1.911	353.808	2.343	31.152	1.607	1.71
1354.625	121.195	68.447	21.873	2.269	2.865	1.922	355.977	2.355	31.212	1.564	1.65
1354.75	119.767	68.378	21.989	2.289	3.177	1.947	321.971	2.386	31.57	1.564	1.65
1354.875	118.607	68.316	22.089	2.408	3.412	2.041	321.357	2.408	31.143	1.692	1.65
1355	117.701	68.205	22.233	2.655	3.195	2.239	333.059	2.436	31.9	1.821	1.801
1355.125	118.22	68.121	22.323	2.767	3.224	2.335	324.669	2.447	33.931	1.863	1.831
1355.25	119.571	67.989	22.415	2.882	3.335	2.453	313.183	2.458	36.451	2.077	2.073
1355.375	120.736	67.904	22.434	2.952	3.227	2.519	322.412	2.462	36.03	2.163	2.133
1355.5	121.346	67.797	22.417	2.967	3.332	2.576	326.72	2.469	33.453	2.248	2.194
1355.625	121.386	67.745	22.384	2.966	3.414	2.606	333.715	2.469	32.054	2.248	2.254
1355.75	121.598	67.705	22.338	3.057	3.322	2.683	325.57	2.459	30.662	2.248	2.254
1355.875	121.23	67.704	22.33	3.106	3.37	2.711	307.322	2.453	29.374	2.334	2.315
1356	120.589	67.733	22.371	3.115	3.376	2.731	310.986	2.451	28.643	2.377	2.345
1356.125	119.479	67.768	22.436	3.112	3.272	2.726	313.058	2.447	29.287	2.377	2.315
1356.25	118.118	67.826	22.589	3.037	3.325	2.66	314.195	2.43	30.043	2.377	2.315
1356.375	118.745	67.863	22.699	2.968	3.243	2.604	326.675	2.419	30.446	2.334	2.284
1356.5	120.792	67.905	22.827	2.886	3.257	2.541	337.875	2.422	32.117	2.291	2.254
1356.625	122.358	67.923	22.887	2.875	3.173	2.53	336.748	2.427	32.884	2.248	2.224
1356.75	123.105	67.936	22.885	2.9	3.06	2.552	326.914	2.425	31.3	2.077	2.012
1356.875	121.558	67.939	22.835	2.93	3.105	2.573	311.738	2.421	29.686	2.12	2.073
1357	119.033	67.942	22.684	2.999	3.237	2.628	305.909	2.419	28.785	2.206	2.164
1357.125	118.669	67.943	22.558	3.017	3.206	2.638	310.835	2.418	29.582	2.163	2.164
1357.25	120.02	67.945	22.38	2.9	3.167	2.53	330.273	2.409	31.936	2.206	2.224
1357.375	121.607	67.944	22.292	2.76	3.168	2.419	331.218	2.401	33.34	2.077	2.133
1357.5	124.173	67.935	22.241	2.573	3.043	2.267	348.511	2.393	32.982	1.863	1.922
1357.625	124.561	67.925	22.247	2.56	2.959	2.242	351.772	2.386	31.177	1.863	1.922
1357.75	123.949	67.908	22.319	2.704	3.001	2.36	335.675	2.382	29.503	1.863	1.861
1357.875	123.749	67.902	22.387	2.812	3.046	2.42	304.678	2.39	30.439	1.992	1.922
1358	123.985	67.911	22.512	2.925	3.337	2.46	301.698	2.414	32.473	2.719	2.677
1358.125	126.473	67.935	22.595	3.022	3.159	2.502	314.29	2.43	32.677	2.719	2.768
1358.25	135.25	67.999	22.7	2.775	3.041	2.33	296.353	2.438	32.277	2.12	2.164
1358.375	144.957	68.056	22.769	2.5	3.286	2.142	278.402	2.427	33.149	1.949	1.952
1358.5	161.689	68.144	22.86	2.279	3.191	1.97	333.328	2.409	34.991	1.863	2.012
1358.625	169.492	68.194	22.902	2.274	3.246	1.962	336.255	2.413	34.214	1.949	1.922
1358.75	169.862	68.235	22.868	2.246	3.501	1.926	308.551	2.427	32.05	1.821	2.103
1358.875	161.944	68.235	22.767	2.353	3.434	2.022	364.664	2.423	31.486	1.949	2.315
1359	145.399	68.192	22.535	2.581	3.079	2.256	343.992	2.405	30.965	1.863	1.71
1359.125	135.683	68.143	22.427	2.76	3.236	2.449	309.254	2.407	30.075	2.035	1.982
1359.25	124.426	68.052	22.418	3.013	3.21	2.692	308.101	2.432	29.736	2.248	2.194
1359.375	120.475	67.991	22.499	3.194	3.268	2.858	287.047	2.445	30.38	2.334	2.284
1359.5	118.016	67.911	22.594	3.21	3.777	2.961	299.335	2.452	30.453	2.591	2.587
1359.625	117.681	67.867	22.575	3.056	3.58	2.883	333.421	2.449	29.92	2.462	2.405
1359.75	119.292	67.816	22.385	2.781	3.32	2.644	339.68	2.433	29.082	2.206	2.164
1359.875	120.163	67.785	22.232	2.596	3.209	2.468	361.691	2.414	29.031	2.035	2.103
1360	120.645	67.735	22.113	2.362	2.98	2.269	375.384	2.385	29.864	1.863	1.861
1360.125	119.782	67.694	22.131	2.338	2.951	2.264	368.724	2.384	31.391	1.778	1.771
1360.25	117.469	67.62	22.244	2.628	3.17	2.556	342.765	2.411	32.63	1.778	1.801
1360.375	116.316	67.568	22.3	2.72	3.095	2.639	298.937	2.429	32.033	2.248	2.224
1360.5	117.337	67.499	22.266	2.749	4.862	2.675	303.483	2.407	31.236	3.232	3.735
1360.625	120.344	67.469	22.183	2.724	2.813	2.659	404.17	2.369	32.384	2.035	2.164
1360.75	125.113	67.463	22.093	2.616	2.882	2.539	368.795	2.341	36.333	1.821	1.801
1360.875	127.468	67.486	22.034	2.3	2.897	2.218	347.259	2.345	37.854	1.778	1.801
1361	128.868	67.556	22.043	2.18	2.938	2.003	346.739	2.347	36.613	1.735	1.771
1361.125	129.503	67.618	22.051	2.21	2.796	2.008	357.826	2.336	35.335	1.607	1.71
1361.25	133.129	67.716	22.077	2.082	2.818	1.932	348.654	2.323	34.777	1.692	1.68
1361.375	136.392	67.775	22.098	2.118	2.9	1.965	323.233	2.333	34.845	1.821	1.861
1361.5	141.719	67.847	22.109	2.305	2.954	2.12	343.792	2.363	34.701	1.692	1.831
1361.625	143.412	67.882	22.085	2.417	3.414	2.187	329.32	2.366	34.435	1.735	1.71
1361.75	142.22	67.918	22.018	2.364	2.989	2.137	331.918	2.329	33.693	1.949	1.892
1361.875	141.823	67.932	21.966	2.279	2.923	2.043	375.26	2.315	33.725	1.821	1.771
1362	141.559	67.937	21.962	2.112	2.934	1.939	364.223	2.363	33.836	1.735	1.71
1362.125	141.786	67.927	22.004	1.941	2.91	1.794	351.794	2.415	33.057	1.564	1.529
1362.25	141.676	67.89	22.104	2.208	3.265	2.054	306.793	2.472	31.72	1.692	1.771
1362.375	138.451	67.851	22.181	2.335	3.011	2.176	324.44	2.487	31.639	1.949	1.892
1362.5	130.593	67.782	22.333	2.654	6.758	2.489	252.022	2.485	30.721	2.505	2.647
1362.625	124.381	67.737	22.415	2.813	4.285	2.66	284.44	2.472	28.979	2.933	3.07
1362.75	116.996	67.685	22.528	3.175	3.684	3.029	324.21	2.451	28.356	2.676	2.647
1362.875	115.577	67.668	22.576	3.089	3.452	3.006	338.515	2.444	28.904	2.505	2.436
1363	115.315	67.675	22.526	2.99	3.505	2.928	300.261	2.44	28.793	2.377	2.164
1363.125	116.317	67.7	22.51	2.986	3.649	2.946	294.978	2.438	28.336	2.419	2.224
1363.25	118.26	67.76	22.438	2.909	3.657	2.925	341.235	2.434	29.149	2.462	2.405
1363.375	119.179	67.807	22.4	2.879	3.4	2.898	336.521	2.433	30.81	2.377	2.284
1363.5	120.517	67.881	22.358	2.757	3.816	2.738	292.605	2.437	32.871	2.291	2.194
1363.625	120.437	67.926	22.315	2.668	3.585	2.635	323.808	2.436	33.253	2.12	2.043
1363.75	119.769	67.984	22.278	2.692	3.589	2.634	333.132	2.433	32.025	2.035	1.952
1363.875	118.625	68.014	22.297	2.783	3.381	2.714	318.736	2.443	30.575	2.077	1.982
1364	117.3	68.047	22.346	2.872	4.023	2.76	294.183	2.464	30.485	2.676	2.859
1364.125	117.749	68.061	22.363	2.822	4.156	2.68	302.101	2.459	31.8	2.762	2.979
1364.25	119.603	68.07	22.357	2.854	4.131	2.644	349.949	2.432	32.445	2.719	3.07
1364.375	121.974	68.07	22.335	2.705	3.276	2.496	385.028	2.42	31.75	2.077	2.224
1364.5	126.395	68.063	22.365	2.341	3.107	2.171	306.439	2.434	30.819	1.906	1.861
1364.625	128.696	68.053	22.446	2.152	3.324	1.984	316.037	2.449	31.044	2.035	2.043
1364.75	129.894	68.034	22.615	2.278	3.341	2.071	332.193	2.459	32.316	1.992	2.103
1364.875	129.8	68.019	22.731	2.28	3.163	2.077	349.09	2.455	32.712	1.992	2.284
1365	129.089	67.993	22.801	2.253	3.468	2.085	330.805	2.428	31.663	1.992	2.224
1365.125	127.742	67.975	22.806	2.286	3.383	2.144	345.525	2.404	30.157	2.12	2.133
1365.25	124.363	67.949	22.773	2.845	3.166	2.697	365.015	2.404	28.742	2.077	1.952
1365.375	121.096	67.936	22.738	3.149	3.213	3.016	337.184	2.433	27.979	2.248	2.012
1365.5	115.618	67.925	22.708	3.332	3.76101	3.2	206.929	2.472	26.167	3.403	2.798
1365.625	113.704	67.926	22.673	3.356	8.61399	3.277	249.867	2.47	25.498	4.302	4.369
1365.75	114.207	67.941	22.598	3.35	3.718	3.362	342.469	2.456	25.99	2.591	2.556
1365.875	116.309	67.959	22.563	3.135	3.315	3.233	339.66	2.46	26.909	2.419	2.315
1366	119.804	67.995	22.523	2.665	3.046	2.746	301.746	2.462	27.916	1.992	2.012
1366.125	120.822	68.022	22.529	2.719	3.927	2.74	283.429	2.45	28.061	1.992	2.043
1366.25	119.648	68.061	22.553	2.754	3.216	2.761	312.06	2.434	28.08	1.992	2.012
1366.375	118.987	68.082	22.575	2.74	3.243	2.746	318.131	2.434	28.341	1.992	2.012
1366.5	121.151	68.103	22.621	2.613	3.24	2.582	332.086	2.44	29.138	1.992	2.043
1366.625	122.742	68.111	22.649	2.585	3.087	2.526	326.366	2.441	29.913	1.906	1.922
1366.75	125.836	68.117	22.689	2.507	3.253	2.411	297.408	2.437	31.941	1.906	1.952
1366.875	127.221	68.12	22.695	2.417	3.177	2.306	314.006	2.43	33.186	1.863	1.952
