dep	LLD	HAC	gr	sp	rmn	rmg
1350	2.438	363.692	118.949	68.355	1.564	1.65
1350.125	2.47	354.699	118.087	68.339	1.607	1.71
1350.25	2.559	326.618	118.106	68.291	1.65	1.741
1350.375	2.625	307.939	118.443	68.248	1.863	1.861
1350.5	2.728	337.382	119.572	68.173	1.692	1.952
1350.625	2.725	353.621	119.22	68.122	1.735	1.831
1350.75	2.738	337.67	116.369	68.06	1.735	1.801
1350.875	2.797	313.353	114.611	68.034	1.821	1.801
1351	2.762	327.683	113.161	68.028	2.163	2.043
1351.125	2.683	341.675	113.391	68.048	2.206	2.164
1351.25	2.562	368.916	115.922	68.114	1.778	1.801
1351.375	2.514	361.285	118.11	68.178	1.735	1.741
1351.5	2.388	362.56	121.007	68.292	1.65	1.65
1351.625	2.336	368.055	121.653	68.374	1.607	1.529
1351.75	2.243	353.796	121.165	68.492	1.564	1.589
1351.875	2.204	356.346	119.954	68.563	1.436	1.529
1352	2.209	376.553	118.959	68.654	1.436	1.499
1352.125	2.198	372.191	119.615	68.703	1.521	1.589
1352.25	2.174	367.071	121.459	68.756	1.478	1.589
1352.375	2.19	375.071	122.889	68.778	1.436	1.559
1352.5	2.227	367.476	125.992	68.788	1.436	1.499
1352.625	2.163	366.164	129.05	68.778	1.393	1.499
1352.75	2.019	359.129	134.476	68.736	1.607	1.62
1352.875	1.871	356.158	139.802	68.692	1.436	1.529
1353	1.986	337.365	146.721	68.603	1.521	1.62
1353.125	2.085	329.551	148.847	68.536	1.564	1.499
1353.25	2.489	310.213	147.025	68.438	1.821	2.133
1353.375	2.731	317.965	141.362	68.384	2.248	2.284
1353.5	3.019	279.241	130.973	68.333	2.804	2.768
1353.625	2.994	323.914	124.884	68.324	2.462	2.677
1353.75	2.803	382.839	118.728	68.343	1.778	1.741
1353.875	2.644	372.525	117.184	68.373	1.692	1.68
1354	2.376	377.596	118.309	68.426	1.65	1.62
1354.125	2.38	367.807	119.932	68.459	1.778	1.741
1354.25	2.329	331.202	121.363	68.491	1.735	1.741
1354.375	2.291	307.623	121.497	68.496	1.821	1.861
1354.5	2.252	353.808	121.518	68.477	1.607	1.71
